"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"神奈川県","藤沢市","宮原","","2516","9","-66467.3","-39474.7","35.400103","139.398747","0","1","0","0"
"神奈川県","藤沢市","宮原","","2521","9","-66467.3","-39474.7","35.400103","139.398747","0","1","0","0"
"神奈川県","藤沢市","宮原","","2500","9","-66671.9","-39540.6","35.398256","139.398031","0","1","0","0"
"神奈川県","藤沢市","宮原","","2507","9","-66671.9","-39540.6","35.398256","139.398031","0","1","0","0"
"神奈川県","藤沢市","宮原","","121","9","-66996","-39484.1","35.395337","139.398669","0","1","0","0"
"神奈川県","藤沢市","宮原","","132","9","-66996","-39484.1","35.395337","139.398669","0","1","0","0"
"神奈川県","藤沢市","宮原","","141","9","-66996","-39484.1","35.395337","139.398669","0","1","0","0"
"神奈川県","藤沢市","宮原","","143","9","-66996","-39484.1","35.395337","139.398669","0","1","0","0"
"神奈川県","藤沢市","宮原","","165","9","-66996","-39484.1","35.395337","139.398669","0","1","0","0"
"神奈川県","藤沢市","宮原","","166","9","-66996","-39484.1","35.395337","139.398669","0","1","0","0"
"神奈川県","藤沢市","宮原","","1739","9","-66572.3","-39408.8","35.399159","139.399478","0","1","0","0"
"神奈川県","藤沢市","宮原","","1785","9","-66572.3","-39408.8","35.399159","139.399478","0","1","0","0"
"神奈川県","藤沢市","宮原","","1795","9","-66572.3","-39408.8","35.399159","139.399478","0","1","0","0"
"神奈川県","藤沢市","宮原","","1796","9","-66572.3","-39408.8","35.399159","139.399478","0","1","0","0"
"神奈川県","藤沢市","宮原","","1804","9","-66572.3","-39408.8","35.399159","139.399478","0","1","0","0"
"神奈川県","藤沢市","宮原","","1863","9","-66572.3","-39408.8","35.399159","139.399478","0","1","0","0"
"神奈川県","藤沢市","宮原","","120","9","-67192.7","-39494.4","35.393563","139.398565","0","1","0","0"
"神奈川県","藤沢市","宮原","","258","9","-66948.3","-39276.4","35.395775","139.400953","0","1","0","0"
